vacancy_name,gender,age,city,skills,experience,last_job,resume_url
DataScientist,Мужчина,54,Москва,"Machine Learnig,Python,Cwl,Predictive analytics,Внедрение ERP,Прогнозирование,Экономический анализ,Математический анализ,CatBoost,XGboost,sklearn,Tensorflow,pandas,numpy,patterns,Аналитические исследования,Экономическое моделирование,Цифровизация экономики","Опыт работы ,9, ,лет, ,1, ,месяц","Московский государственный университет им. М.В. Ломоносова, Москва",https://hh.ru/resume/a66ee9ca0007c063d10039ed1f564175796a77?hhtmFrom=resume_search_result&query=Data
Junior data scientist,Мужчина,32,Санкт-Петербург,"Аналитическое мышление,Машинное обучение,Математическая статистика,Анализ данных,Визуализация данных,Python,Numpy,Scipy,Pandas,Matplotlib,Seaborn,SKlearn,Git,SQL,Unix","Опыт работы ,6, ,месяцев","Комсомольский-на-Амуре государственный технический университет, Комсомольск-на-Амуре",https://hh.ru/resume/a2f3efa500065dae700039ed1f524730514e66?hhtmFrom=resume_search_result&query=Data
Data Analyst. Аналитик данных. Начинающий специалист,Женщина,,Москва,,"Опыт работы ,6, ,месяцев",,https://hh.ru/resume/9d0fc1de0007bd30380039ed1f344170616e59?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,31,Новосибирск,"MATLAB,Image/Signal Processing,высокопроизводительные вычисления,C/C++,JavaScript,Java,MySQL,Git,Atlassian Jira,Python,Анализ данных,pandas,scikit-learn,Математическое моделирование,hadoop","Опыт работы ,8, ,лет, ,4, ,месяца","Новосибирский государственный технический университет, Новосибирск",https://hh.ru/resume/444fbc9f0003361e000039ed1f447153736a79?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,24,Москва,"Ответственность,Терпимость,Отзывчивость,Java,MySQL,SQL,MS SQL Server,Базы данных,Python,Big Data,ООП,Git,Apache Maven,JavaScript,CSS,HTML,Blockchain,Atlassian Jira,Intellij IDEA,Математическая статистика,Atlassian Confluence,Android,C++,Spark,Статистический анализ,Golang","Опыт работы ,1, ,год, ,11, ,месяцев",The Skolkovo Institute of Science and Technology,https://hh.ru/resume/478f50f400031c5fed0039ed1f795638654f6f?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,26,Москва,"Python,Spark,SCALA,Machine Learning,Нейронные сети","Опыт работы ,6, ,лет, ,1, ,месяц",Сбербанк - Технологии,https://hh.ru/resume/47127fb90001de7d8e0039ed1f4a6c7951385a?hhtmFrom=resume_search_result&query=Data
"Data Analyst/Data Scientist (Python, SQL, 2+ опыт в инвестициях, 3+ управление проектами)",Мужчина,,Москва,"Английский язык,MS Visio,Математическая статистика,MS Excel,Bloomberg,Теория вероятностей,MS Project,Python,Data Analysis,Numpy,Pandas,Matplotlib,SQL,Jupyter notebook,Jupyter,Tableau,MS SQL Server,Machine Learning,Scikit-learn,Анализ данных,Базы данных,Data Mining,MS SQL,Linux,Bash,Tensorflow,Sklearn,Временные ряды,Clickhouse,JSON API","Опыт работы ,6, ,лет, ,5, ,месяцев","Остров, ООО",https://hh.ru/resume/6b7f1aa600064dc13c0039ed1f456d4f703361?hhtmFrom=resume_search_result&query=Data
Senior/Lead Data Scientist,Male,22,Moscow,"Python,C++,Java,Linux,Git,Data Analysis,PostgreSQL,Mathematical Statistics,ООП","Work experience ,3, ,years","Московский физико-технический институт (Государственный университет), Долгопрудный",https://hh.ru/resume/10a4173700044f6eab0039ed1f365568475032?hhtmFrom=resume_search_result&query=Data
Data Scientist | Machine Learning,Мужчина,25,Москва,"Python,Tensorflow,sklearn,Linux,pandas,numpy","Опыт работы ,10, ,месяцев",МТС Банк,https://hh.ru/resume/29b336b300079ae8790039ed1f6a55336a6738?hhtmFrom=resume_search_result&query=Data
Аналитик данных / Data analyst,Мужчина,26,Москва,"Контекстная реклама,Работа с системами аналитики,Управление проектами,Яндекс.Метрика,Google AdWords,Google Analytics,Яндекс.Директ,Интернет-реклама,Google Tag Manager,Веб-аналитика,Microsoft Power BI,BigQuery,R,API,SQL,Python,Tableau,PostgreSQL,Impala,RabbitMQ,Kafka,Анализ данных,Data Analysis,Базы данных,Постановка задач разработчикам,Автоматизация,Big Data,Data driven","Опыт работы ,3, ,года, ,1, ,месяц","Санкт-Петербургский государственный университет, Санкт-Петербург",https://hh.ru/resume/348889d70007bf11dd0039ed1f73415a39736a?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,25,Португалия,"машинное обучение,нейронные сети,генетическое программирование,Keras,Tensorflow,Python,JavaScript,Generative Adversarial Networks,Сегментация изображений,Классификация данных,Несбалансированные данные,Математика,Генеративно-состязательные сети,MATLAB,Git,Linux,Обработка изображений,Математическая статистика,MySQL,Scikit-learn,Написание научный статей,Аналитические исследования,Компьютерное зрение","Опыт работы ,4, ,года, ,10, ,месяцев","Национальный исследовательский Томский политехнический университет, Томск",https://hh.ru/resume/7d939e1a0006d6ba8f0039ed1f7052504c5750?hhtmFrom=resume_search_result&query=Data
Junior Data Scientist | Data Analyst | Quantitative Researcher,Мужчина,25,Москва,"Python,Numpy,TensorFlow,Machine Learning,Deep Learning,Computer Vision,Algorithms and Data Structures,OpenCV,MongoDB,SQL,Git,Probability Theory,Mathematical Statistics,C/C++,Pandas,MySQL,scikit learn","Опыт работы ,1, ,год, ,11, ,месяцев","Moscow Institute of Physics and Technology (State University), Moscow",https://hh.ru/resume/0cebc8f900074a05af0039ed1f387a686e6478?hhtmFrom=resume_search_result&query=Data
"Senior Data Scientist, Machine Learning Engineer",Мужчина,25,Москва,"Git,Python,Unix,Unix Shell Scripts,MapReduce,Hadoop,Linux,SQL,PostgreSQL,Hive,Big Data,Data Analysis,Data Mining,Spark,Java,C/C++,Анализ данных,Clickhouse,Базы данных","Опыт работы ,5, ,лет, ,3, ,месяца",Mail.Ru Group,https://hh.ru/resume/cf78e64c00024283940039ed1f70574d335039?hhtmFrom=resume_search_result&query=Data
Data scientist,Мужчина,37,Санкт-Петербург,"Пользователь ПК,Ориентация на результат,Ведение переговоров,Управление проектами","Опыт работы ,6, ,лет, ,2, ,месяца","Санкт-Петербургский государственный университет кино и телевидения, Санкт-Петербург",https://hh.ru/resume/3c2755520005aed2000039ed1f45774737384e?hhtmFrom=resume_search_result&query=Data
Data analytic/Аналитик данных,Женщина,33,Москва,"Python,Big Data,QGIS,SQL,Tableau,Статистический анализ,Аналитические исследования,Исследования рынка,Анализ данных,Аналитическое мышление,MySQL,Управление проектами,Английский язык","Опыт работы ,1, ,год, ,4, ,месяца","Национальный исследовательский университет ""Высшая школа экономики"", Москва",https://hh.ru/resume/de5f967d000746f6620039ed1f635870705333?hhtmFrom=resume_search_result&query=Data
"Risk, information security, data protection management",Male,,Moscow,"IT projects,Training,Multicultural awareness,Information Security,IT security audit,Risk management,Data Privacy,SAP CRM,Information Technology,Cloud security,DLP Symantec,ISO 2700x,COBIT,NIST,GDPR,PMBOK,Cisco,Check Point,Team management,Negotiation skills","Work experience ,18, ,years, ,5, ,months",METRO Cash & Carry,https://hh.ru/resume/4164de00000004e0fa0039ed1f736563726574?hhtmFrom=resume_search_result&query=Data
Chief Data Officer / Data Governance Officer ,Male,35,Moscow,"Team management,Administrating Contractors,Big Data,Sqoop,Hive,Oozie,NiFi,SQL Server,SSIS,SSRS,SSAS,PowerBI,Query Optimization,SQL Server Administration,Microsoft Dynamics CRM 4.0,MS CRM Callouts/Plugins,C#,Xsd,Enterprise Architect,Remote Teams Management,Data Governance,DMBoK,QlikView,Collibra,DataVault,Data Quality,Agile Project Management,Business Glossary,Data Catalog,Data Management","Work experience ,14, ,years, ,6, ,months",,https://hh.ru/resume/145b467000066f41450039ed1f573959536253?hhtmFrom=resume_search_result&query=Data
data scientist,Female,35,Moscow,,"Work experience ,11, ,years, ,2, ,months",,https://hh.ru/resume/4be0876b0007a7db050039ed1f68426746346e?hhtmFrom=resume_search_result&query=Data
Junior Data Scientist,Женщина,24,Москва,"Data Analysis,Анализ данных,Python,Статистический анализ,Математическая статистика,Математический анализ,Машинное обучение,XGBoost,Sklearn,Keras,C++,Численные методы,Математическое моделирование,SQL,PostgreSQL,NLP,TensorFlow","Опыт работы ,1, ,год, ,10, ,месяцев",Europlan,https://hh.ru/resume/b36b57df000637a4270039ed1f6c41524d496c?hhtmFrom=resume_search_result&query=Data
data engineer,Мужчина,29,Москва,"Kafka,Hadoop,Spark,hive,hbase,clickhouse,HDFS,Hue,Pandas,Numpy,Sqoop,PostgreSQL,PySpark,elasticsearch,Superset,Grafana,docker,ansible,kibana,airflow,Jenkins,SCALA,nifi,cloudera,ambari","Опыт работы ,11, ,лет, ,3, ,месяца","СИБУР, Группа компаний",https://hh.ru/resume/ecd584120003493f8a0039ed1f4f466b557662?hhtmFrom=resume_search_result&query=Data
Junior Data Scientist,Мужчина,26,Алматы,"Data Analysis,Python,PostgreSQL,Machine Learning,Statistics,Работа в команде,Interpersonal skills,Pandas,Numpy,Keras,Neural Networks,Tableau","Опыт работы ,1, ,год, ,4, ,месяца",Geovision Group,https://hh.ru/resume/ae0f0bd600060836540039ed1f6d3534346931?hhtmFrom=resume_search_result&query=Data
Data Analyst - Data Scientist,Male,54,Moscow,"MS SQL Server,MS Visual C++,Web Application Development,ITIL,ITSM,PostgreSQL,Linux,Active Directory,Python,PHP,Adobe Photoshop,DHCP,HTML5,CorelDRAW,PHP5,SQL,JavaScript,erWin,CMS Wordpress,Apache HTTP Server,Java,System Administration of Linux, Free BSD and Windows Servers,Software Development,Oracle 10G,AllFusion ERwin Data Modeler,Big Data,Machine Learning,MATLAB,RPA","Work experience ,19, ,years, ,5, ,months",,https://hh.ru/resume/b406f1d9000391cb440039ed1f746768583675?hhtmFrom=resume_search_result&query=Data
Specialist,Female,24,Moscow,"MS Office,MS SharePoint,SAP,Английский язык,Работа в команде,Деловая коммуникация,SAP Project","Work experience ,3, ,years, ,1, ,month",Корпорация Estée Lauder,https://hh.ru/resume/8eb68c120007a5e0ec0039ed1f43536755504f?hhtmFrom=resume_search_result&query=Data
Data analyst/Data scientist,Мужчина,29,Москва,"MS Dynamics AX,Аналитический склад ума,Python(numpy, pandas, matplotlib, sklearn и т.д.),SQL,ML","Опыт работы ,2, ,года, ,1, ,месяц",ПИК-Комфорт,https://hh.ru/resume/12460ac3000422a94f0039ed1f42304a51316b?hhtmFrom=resume_search_result&query=Data
"Data-Scientist, Data Analyst",Мужчина,21,Москва,"Python,NumPy,Pandas,Keras,Tenserflow,C/C++/Java,Базовые знания ML & DL,Аналитический склад ума,Аналитическое мышление,умение реактивно мыслить,собранность в напряженные моменты,неисчерпаемое трудолюбие,SQL запросы и устройство БД,ServiceNow,Splunk,Unity","Опыт работы ,2, ,года, ,4, ,месяца",Mars,https://hh.ru/resume/38891ce80006d4b70b0039ed1f4b6767797278?hhtmFrom=resume_search_result&query=Data
Data Analyst/Data Scientist,Мужчина,20,Москва,"Постановка задач разработчикам,Разработка технических заданий,Управление проектами,Работа в команде,HTML,Разработка проектной документации,Подготовка презентаций,Проведение презентаций,Пользователь ПК,CSS,JavaScript,Английский язык,Деловое общение,Деловая коммуникация,Разработка ПО,Adobe Photoshop,Python,Data Analysis,Big Data,Анализ данных,Базы данных,Статистический анализ,MS SQL,C#","Опыт работы ,8, ,месяцев","Российский экономический университет им. Г.В. Плеханова, Москва",https://hh.ru/resume/af796f5100075314ff0039ed1f674a52783876?hhtmFrom=resume_search_result&query=Data
Data scientist (NLP),Женщина,30,Москва,"Python,нейронные сети,автоматическая обработка языка,deep learning,nlp,pytorch,keras,Data Mining,natural language processing,Bash,Data Analysis","Опыт работы ,6, ,лет, ,6, ,месяцев",Национальный исследовательский университет «Высшая школа экономики»,https://hh.ru/resume/abc4091d00044609360039ed1f466859727548?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,24,Москва,"исполнительность, предприимчивость","Опыт работы ,1, ,год","ТК-Центр, ООО",https://hh.ru/resume/5b7a41d10005ec62620039ed1f67415a357379?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,24,Москва,"Python,Математическая статистика,Java,Linux,Математический анализ,Data Analysis,Google cloud,Git,Spark,Deep Learning,MySQL,Tensorflow","Опыт работы ,5, ,лет",Сбербанк,https://hh.ru/resume/7317d3fa0004fc38d50039ed1f385a75476c38?hhtmFrom=resume_search_result&query=Data
Data scientist,Мужчина,24,Москва,"Python,C++,MS Office,Latex,pandas,numpy,sklearn",Ключевые навыки,"Московский государственный университет им. М.В. Ломоносова, Москва",https://hh.ru/resume/0b1fce1700078a65b30039ed1f6d6857786361?hhtmFrom=resume_search_result&query=Data
Data scientist  ,Женщина,,Москва,"Python,C/C++,SQL,C#,Git","Опыт работы ,7, ,лет, ,10, ,месяцев","Московский государственный университет им. М.В. Ломоносова, Москва",https://hh.ru/resume/c5d55937000630d6ab0039ed1f3364486e5a70?hhtmFrom=resume_search_result&query=Data
Data analyst,Мужчина,23,Москва,"Python,SQL,Анализ данных,Финансовое моделирование","Опыт работы ,1, ,год, ,4, ,месяца","Зарубежнефть, ОАО",https://hh.ru/resume/c4bc00460007b9a5cf0039ed1f415a6f4e4556?hhtmFrom=resume_search_result&query=Data
Data Analyst,Мужчина,22,Москва,"pandas,Анализ данных,Аналитическое мышление,SQL,Работа с базами данных,Аналитика,Статистический анализ,Проведение тестирований",Ключевые навыки,,https://hh.ru/resume/933949ee000771d7db0039ed1f7a3349797a6a?hhtmFrom=resume_search_result&query=Data
Senior Product Analyst | Data Scientist,Мужчина,28,Москва,"Data Analysis,Data Science,Big Data,Data Authoring,WEB аналитика,Database Systems,SQL,Linux,Google Analytics,Яндекс.Метрика,Google Tag Manager,Google API,Google Firebase,AppsFlyer,AppMetrica,Amplitude,OWOX BI,Google Optimize,Python,R,Jupyter Notebook","Опыт работы ,3, ,года, ,10, ,месяцев",Информационное телеграфное агентство России (ИТАР-ТАСС),https://hh.ru/resume/ac2bb53d000414909f0039ed1f653642714441?hhtmFrom=resume_search_result&query=Data
Solution Architect - Data &  Analytics,Male,33,Poland,"SAP BW,S4HANA Embedded Analytics,SAP BW4HANA,ABAP,NATIVE HANA,Tableau","Work experience ,9, ,years, ,7, ,months",,https://hh.ru/resume/e7a89b8100015d12b40039ed1f447a4d4b475a?hhtmFrom=resume_search_result&query=Data
Data Analyst,Мужчина,23,Москва,"Google AdWords,Google Analytics,Яндекс.Директ,Яндекс.Метрика,Yandex Direct,K50,MS Excel,A/B тесты,Key Collector,Google Data Studio,OWOX BI,Calltracking,SQL,PostgreSQL,Анализ данных,Pandas,WEB аналитика,Аналитическое мышление,Базы данных,Python,Когортный анализ,Оптимизация каналов продаж,Оптимизация конверсии","Опыт работы ,4, ,года, ,9, ,месяцев",,https://hh.ru/resume/a413f4c6000671f6c50039ed1f493848746b6c?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,26,Москва,"Python,Статистический анализ,Методы машинного обучения,Прогнозирование,SQL,Excel,Имитационное моделирование,Разработка моделей прогнозирования,Искусственные нейронные сети,Анализ данных,Reinforcement learning,Sas","Опыт работы ,5, ,лет, ,2, ,месяца","Дочки & Сыночки, сеть супермаркетов",https://hh.ru/resume/af75107d00053ef6780039ed1f4c41346a5677?hhtmFrom=resume_search_result&query=Data
Data Scientist / Data Analyst,Мужчина,20,Москва,"Python,SQL,Математический анализ,Математическая статистика,Дизайн,Подготовка презентаций,Adobe Photoshop,Adobe Illustrator,Tableau,Power BI,Access,Анализ данных,Конференции,Machine Learning,Pandas,Numpy,MATLAB,R,sklearn,tensorflow,эконометрика,Flask,MS SQL,СУБД,Базы данных,Математическое моделирование,REST,cuda","Опыт работы ,2, ,года, ,6, ,месяцев","Зеробит, ООО",https://hh.ru/resume/8242f18200071de4ec0039ed1f444c35746771?hhtmFrom=resume_search_result&query=Data
Data Engineer,Мужчина,21,Москва,"HTML,SQL,CSS,Python,AllFusion ERwin Data Modeler,Pandas",Ключевые навыки,,https://hh.ru/resume/d22b37450005f9db580039ed1f4e5237544638?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,31,Москва,"Python,Data Analysis,Data Mining,SQL,Git,pandas,NumPy,scikit-learn,keras,TensorFlow,Machine learning,Deep learning,Математическая статистика,Теория вероятностей,Линейная алгебра,Математический анализ","Опыт работы ,5, ,лет, ,6, ,месяцев","Национальный исследовательский университет ""Высшая школа экономики"", Москва",https://hh.ru/resume/0376600500079881ad0039ed1f45564838477a?hhtmFrom=resume_search_result&query=Data
"Personal Assistant, Administrative Assistant, Document Controller",Female,36,Moscow,,"Work experience ,10, ,years, ,7, ,months",,https://hh.ru/resume/1b33643900011fb81a0039ed1f364348444469?hhtmFrom=resume_search_result&query=Data
Data scientist,Мужчина,26,Москва,"Java,Git,Linux,Python,SQL,SVN,PostgreSQL,MySQL,Android,Intellij IDEA,Java Servlets,Agile Project Management,UML,C/C++,NetBeans,Django Framework,Mathematical Statistics,Design Patterns,XGBoost,Decision trees,Cluster Analysis,Collaborative filtering,Hadoop,PySpark","Опыт работы ,5, ,лет, ,2, ,месяца",БИФИТ,https://hh.ru/resume/03fead6400064020c60039ed1f766369303935?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,28,Москва,"Python,numpy,pandas,Scikit-learn,Matplotlib,SQL,LightGBM,CatBoost,PyTorch,Machine learning,Data Analysis,Data Mining","Опыт работы ,5, ,лет, ,9, ,месяцев",,https://hh.ru/resume/0471a0f9000793215c0039ed1f4c377757366c?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,20,Москва,"Python,Git,Linux,machine learning,IBM Watson,SQL","Опыт работы ,1, ,год, ,2, ,месяца",ИБМ Восточная Европа/Азия - IBM EE/A,https://hh.ru/resume/4dad167000045654120039ed1f6b68585a4369?hhtmFrom=resume_search_result&query=Data
Data scientist,Мужчина,22,Москва,"Python,C/C++,Linux,Git,Spark,ООП,Data Analysis,Mathematical Statistics,Machine Learning",Ключевые навыки,"Московский государственный технический университет им. Н.Э. Баумана, Москва",https://hh.ru/resume/c45dbd6200078b91270039ed1f324164733846?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,27,Москва,,"Опыт работы ,3, ,года, ,7, ,месяцев",Альфа-Банк (Россия),https://hh.ru/resume/f4858ba00005c8c2560039ed1f4d35336e7075?hhtmFrom=resume_search_result&query=Data
 Data Scientist,Мужчина,50,Москва,"Python,Django Framework,SQL,MySQL,Bash,Nginx,Git,Тестирование,docker,Jenkins,bamboo","Опыт работы ,11, ,лет, ,8, ,месяцев",Mail.Ru Group,https://hh.ru/resume/ef47bff00007ba66ff0039ed1f696e556e524c?hhtmFrom=resume_search_result&query=Data
Data Scientist remote support,Женщина,39,Москва,"Tools: Python (Pandas, matplotlib, stats, skiPy, gmaps, flask, beautifulSoup), R, JavaScript( d3,Plo","Опыт работы ,13, ,лет, ,8, ,месяцев",,https://hh.ru/resume/c5fbd6790007c554530039ed1f7a7147516b4b?hhtmFrom=resume_search_result&query=Data
Data Scientist,Male,25,Moscow,"AutoCAD,ЕСКД,Математическое моделирование,Компас-3D,3D Моделирование,SolidWorks,Английский язык,разработка чертежей,Autodesk Inventor,ANSYS,MS Visual Basic,Solidedge,MS SharePoint,Python,MS PowerPoint,MS Excel,Quality Control,5S,TPM,8D,KAIZEN,Troubleshooting,Data Analysis,FMEA,Spark,R,SQL,Machine Learning","Work experience ,3, ,years, ,1, ,month",Procter & Gamble,https://hh.ru/resume/e73c32e100042e61180039ed1f794c446b4d49?hhtmFrom=resume_search_result&query=Data
Аналитик,Мужчина,31,Москва,"Яндекс.Метрика,Google Analytics,HTML,Python,CSS,SQL,Анализ бизнес показателей,R,Математический анализ,Статистический анализ,A/B тесты,MS Excel,Data Analysis,Tableau,Business Analysis,Jupiter Notebook,Pandas,Numpy,Аналитические исследования,Бизнес-анализ,PostgreSQL,Seaborn,Scipy,Matplotlib,Sklearn,Dash,Ubuntu Server,Яндекс.Облако,docker","Опыт работы ,7, ,лет, ,7, ,месяцев","Московский государственный технический университет им. Н.Э. Баумана, Москва",https://hh.ru/resume/cfeeaf2600078b23660039ed1f6471705a5033?hhtmFrom=resume_search_result&query=Data
Data Scientist / Data Analyst,Мужчина,26,Москва,"Python,SQL,Git,Data Mining: SPSS,IBM SPSS,SPSS,Математическая статистика,Анализ данных,Статистический анализ,numpy,scipy,scikit-learn,MS PowerPoint,Data Analysis,data science,Analytical skills,Английский язык,Грамотная речь,Big Data,MS Excel","Опыт работы ,5, ,лет, ,4, ,месяца","TNS Россия, Группа компаний",https://hh.ru/resume/334961dc0007ab6ef70039ed1f4f67634c3232?hhtmFrom=resume_search_result&query=Data
Junior Data Engineer,Мужчина,27,Москва,"Python,Git,SQL,Django Framework","Опыт работы ,7, ,лет, ,4, ,месяца",,https://hh.ru/resume/aa5ee1fd000765b9f20039ed1f655347416149?hhtmFrom=resume_search_result&query=Data
"Data scientist, Дата специалист",Male,39,Tver,"Borland Delphi,Python,Qt,MS Visual Studio,HTML,CSS,Java,SQL,scikit-learn,ML,Jupyter Notebook,MS Excel,VBA","Work experience ,18, ,years, ,7, ,months","Тверской государственный университет, Тверь",https://hh.ru/resume/ae2c7c2000079cea2e0039ed1f744d35473239?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,32,Пермь,"MS Excel,MS Office,Настройка ПК,Организация тренинга для новых сотрудников,Анализ бизнес показателей,Административное управление,Бизнес-анализ,Моделирование бизнес процессов,Оптимизация бизнес процессов,Управленческие навыки,Управление проектами","Опыт работы ,8, ,лет",Билайн,https://hh.ru/resume/885cb75500072fed570039ed1f32684a4c434c?hhtmFrom=resume_search_result&query=Data
Python Data Scientist Junior / Data Scientist / Аналитик Python/ Data Engineer,Мужчина,34,Москва,"Python,MySQL,Linux,Git,Bash,Matplotlib,Numpy,Pandas,Scikit-learn,Jupyter","Опыт работы ,8, ,лет, ,4, ,месяца","Московский государственный университет технологий и управления им. К.Г. Разумовского, Москва",https://hh.ru/resume/af02b2b20006940c2b0039ed1f517267464176?hhtmFrom=resume_search_result&query=Data
"Analytics, Consultant, BI Consultant, Data analyst, Data strategist,ETL",Male,34,Moscow,"Informatica ETL ,DWH, Cognos,SQL,Business Analysis,Analytical skills,Data Mining,MySQL,Software Development,MS Outlook,Data Analysis,Consultant Plus,Google Analytics,Data Mining: Business Analytica,Big Data","Work experience ,7, ,years, ,10, ,months",,https://hh.ru/resume/0e9e351a0001d2d0b80039ed1f494966373055?hhtmFrom=resume_search_result&query=Data
Data Scientist,Женщина,33,Москва,"SQL. Агрегация. Оконные функции,ООП,Анализ данных,Статистический анализ,Machine Learning,PyTorch,TensorFlow,Python,Data Mining,Автоматизация технологических процессов,Pandas,Matplotlib,Numpy,Keras,SQL,1С,Математическая статистика,Прогнозирование,Аналитические исследования,Математическое моделирование,Математический анализ,Базы данных,Математическое программирование,Аналитическое мышление,Confluence Jira","Опыт работы ,8, ,лет, ,5, ,месяцев","Московский энергетический институт (Национальный исследовательский университет), Москва",https://hh.ru/resume/4a07ebbb00079ced9f0039ed1f453941396a65?hhtmFrom=resume_search_result&query=Data
Аналитик Big Data (стажер),Женщина,35,Москва,"SEO,Публичные выступления,Проведение презентаций,PR,Adobe Photoshop,Python,Pandas,Numpy,MySQL,SQL,Jupiter,Яндекс.Метрика,Маркетинговые исследования,SMM,Google Analytics,Составление семантического ядра,Маркетинговый анализ","Опыт работы ,11, ,лет, ,10, ,месяцев",Банки.ру,https://hh.ru/resume/53d1b7710007489ce70039ed1f555541783271?hhtmFrom=resume_search_result&query=Data
